c_1,c_2,c_3,purity_class
645.795,0.151,155.57,B
1334.246,0.022,154.0,B
1102.023,0.122,155.495,B
316.575,0.07,152.951,B
-427.025,0.199,150.674,A
422.248,0.205,152.397,B
532.751,0.136,155.706,B
-1492.728,0.168,151.972,A
-937.773,0.071,151.814,A
26.832,0.028,153.432,B
-258.899,0.114,154.785,A
270.596,0.064,155.625,B
953.95,0.206,155.93,B
1166.995,0.169,154.196,B
-139.511,-0.071,155.514,A
1416.659,-0.003,153.149,B
1201.767,0.18,152.462,B
2101.636,0.257,154.378,B
345.838,0.282,151.084,B
1925.528,-0.013,154.217,B
-36.338,0.199,153.954,A
2087.424,-0.003,155.338,B
-697.866,-0.028,151.805,A
1030.113,0.171,150.657,B
1268.106,-0.04,152.566,B
1351.973,0.19,153.585,B
420.131,0.219,152.711,B
976.26,-0.008,155.048,B
-1376.627,0.145,152.782,A
308.372,-0.019,151.521,B
-1619.148,-0.057,151.829,A
-594.353,0.095,155.9,A
684.836,0.268,154.781,B
-1675.899,0.194,151.975,A
-567.119,0.263,154.362,A
1782.11,0.003,151.083,B
1491.449,-0.099,155.151,B
-1459.982,0.223,155.974,A
-452.446,0.108,153.082,A
863.445,-0.079,151.283,B
863.043,0.12,150.426,B
-1946.642,0.008,155.62,A
-825.738,-0.017,155.013,A
360.152,0.038,153.627,B
-734.066,0.255,154.462,A
-485.744,0.183,152.211,A
-401.36,0.095,150.894,A
705.726,0.001,151.33,B
-1238.157,0.222,150.151,A
496.302,0.074,154.964,B
490.714,-0.018,151.833,B
1474.327,0.185,154.216,B
112.605,-0.021,151.357,B
2033.857,0.136,150.589,B
1768.877,-0.087,151.593,B
252.35,0.293,154.183,B
1652.284,0.159,153.355,B
-1732.31,0.037,152.616,A
1336.295,0.142,153.961,B
-585.48,0.139,154.201,A
1768.695,0.027,152.52,B
-1926.21,0.186,155.207,A
1518.78,0.101,155.837,B
946.76,0.265,151.515,B
-372.532,0.256,152.272,A
381.015,0.067,150.112,B
-620.117,0.02,155.896,A
2108.619,-0.087,154.77,B
-670.726,0.114,154.99,A
-1259.642,0.09,154.572,A
1122.977,0.214,154.317,B
298.639,0.29,152.46,B
320.378,0.132,154.934,B
220.462,-0.094,150.445,B
-528.113,0.046,153.889,A
-2049.388,0.252,151.036,A
-1416.055,-0.073,154.068,A
-1718.053,0.299,155.28,A
1771.167,0.068,153.698,B
987.309,0.179,150.609,B
189.749,0.233,151.703,B
1711.445,0.266,155.963,B
-953.303,0.136,150.961,A
1589.82,0.057,154.144,B
198.872,0.146,154.571,B
-1830.975,0.272,155.65,A
-1315.781,0.14,152.268,A
633.215,-0.013,151.226,B
1728.795,0.297,153.566,B
1046.704,0.14,150.663,B
-313.69,0.165,154.256,A
-633.392,-0.072,152.809,A
1157.447,0.043,154.162,B
-1457.128,0.097,150.784,A
-117.472,-0.018,150.276,A
-115.427,0.268,150.05,A
-832.368,-0.043,155.309,A
1565.969,0.27,153.176,B
-1435.53,0.093,154.408,A
-1983.326,0.054,151.766,A
